632.911588;
638.157638;
637.998690;
632.968520;
638.140789;
639.587143;
638.105888;
637.586297;
782.104682;
704.804386;
786.798219;
732.113730;
712.300490;
731.286089;
787.004665;
634.506348;
758.255271;
782.103345;
750.737114;
780.191191;
