2.296364;
2.700299;
1.305104;
2.073831;
2.152399;
2.392486;
2.517912;
2.011724;
1.964705;
1.890113;
1.641571;
2.192557;
2.020560;
2.041871;
1.609011;
1.325001;
1.357152;
2.003489;
1.504051;
2.071106;
