5.777854;
5.599685;
4.360777;
4.278922;
3.920503;
4.685362;
5.054401;
4.283179;
5.657876;
4.386485;
3.966990;
4.724506;
4.255206;
4.268531;
4.547451;
4.081708;
4.570002;
4.410390;
4.423034;
4.485582;
