0.148855;
0.138496;
0.139037;
0.148895;
0.271961;
0.138986;
0.138796;
0.138776;
0.138897;
0.154647;
0.149507;
0.138856;
0.148304;
0.138836;
0.138806;
0.148365;
0.138836;
0.164696;
0.139027;
0.149166;
