77.383384;
78.330640;
74.389669;
83.036209;
74.516148;
79.022660;
74.765971;
77.086811;
74.878975;
75.736390;
77.235481;
75.704601;
74.526615;
77.966317;
81.572112;
77.607627;
76.571573;
74.138871;
76.153931;
77.390165;
