3200.238964;
3216.327051;
3170.025795;
3152.381512;
3155.925693;
3167.598368;
3163.915308;
3156.269686;
3171.450725;
3127.373512;
3163.391408;
3136.101543;
3127.571987;
3226.238592;
3172.069923;
3170.960845;
3264.090580;
3132.642336;
3129.489422;
3130.173732;
