0.005651;
0.003477;
0.005891;
0.003076;
0.003357;
0.006182;
0.006082;
0.002646;
0.003056;
0.003506;
0.002054;
0.003456;
0.003146;
0.003416;
0.002965;
0.005851;
0.003236;
0.003136;
0.003166;
0.002966;
0.003861;
