8.421258;
5.750549;
4.964332;
5.096036;
5.029397;
9.277588;
9.496747;
9.825658;
5.897571;
5.600011;
9.110647;
9.663838;
9.257310;
9.611848;
10.169889;
9.118573;
6.121280;
10.296831;
9.675920;
11.507192;
