43792.840867;
43710.746219;
43620.604181;
43540.337669;
43613.859753;
43719.304743;
43588.218820;
43633.450149;
43624.619980;
43730.150465;
44016.631704;
43757.382539;
43872.278446;
43680.783148;
43678.682128;
43768.566106;
43932.926869;
43617.347424;
43480.051042;
43562.764802;
