1.223544;
1.321361;
1.182656;
2.121045;
1.148931;
1.170833;
1.165984;
1.138371;
2.111816;
1.153301;
0.623014;
1.247170;
1.139554;
1.149332;
1.150454;
1.720758;
1.139804;
1.138722;
1.134945;
1.549208;
