7873.268077;
7994.872900;
8213.107243;
8418.163251;
7869.440799;
8094.140043;
8166.920111;
8134.778693;
8223.223830;
8330.358468;
8228.843379;
8227.698635;
8074.282332;
8274.275680;
8322.820431;
8588.515501;
8414.206234;
8348.634249;
8285.794763;
8557.079843;
