0.360984;
0.235707;
0.141067;
0.188898;
0.270292;
0.152579;
0.181864;
0.159252;
0.127572;
0.190621;
0.305169;
0.167849;
0.212112;
0.146567;
0.144895;
0.123263;
0.147660;
0.104769;
0.096012;
0.094379;
