0.879577;
1.244469;
0.973505;
0.913181;
0.975018;
0.664159;
0.965310;
1.114532;
0.622751;
0.658649;
1.020285;
0.661444;
0.634383;
0.620306;
0.788735;
0.830544;
0.673957;
1.025324;
1.118330;
0.934632;
