42.810766;
40.390256;
40.472173;
40.443239;
43.134837;
44.998579;
40.456343;
40.720569;
47.846114;
40.526719;
41.471448;
44.974691;
40.317056;
41.781354;
40.634015;
43.803197;
40.857221;
48.952886;
45.971983;
40.524864;
