328.211728;
322.471890;
322.810198;
323.554855;
327.105601;
322.411833;
323.525088;
325.955094;
323.689723;
328.392725;
323.448781;
322.757116;
323.069515;
324.852431;
326.146471;
324.396346;
323.137355;
322.795669;
322.618862;
323.205306;
