16.479741;
16.927219;
16.450073;
17.735510;
17.333238;
16.478587;
18.472507;
18.261649;
15.477279;
13.487930;
14.665280;
14.273708;
15.222266;
14.908801;
15.061031;
14.791078;
16.457738;
15.947602;
13.780303;
16.876833;
