0.557857;
0.447208;
0.562036;
0.442438;
0.524093;
0.481403;
0.510759;
0.452418;
0.785900;
0.452889;
0.745985;
0.615817;
0.493135;
0.630816;
0.330937;
0.574469;
0.525856;
0.528552;
0.752848;
0.435595;
