0.187596;
0.189800;
0.320397;
0.280932;
0.276785;
0.325046;
0.355083;
0.243171;
0.291523;
0.240707;
0.255875;
0.236518;
0.269110;
0.243030;
0.261837;
0.480722;
0.243882;
0.308355;
0.519054;
0.354993;
